"filename", "language", "C++", "CMake", "JSON", "YAML", "Dart", "Properties", "XML", "Gradle", "Markdown", "HTML", "Swift", "Project.pbxproj", "comment", "blank", "total"
"/Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/lib/sections/offeringsSection/offerings.dart", "Dart", 0, 0, 0, 0, 108, 0, 0, 0, 0, 0, 0, 0, 0, 4, 112
"/Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/lib/sections/projectsSections/projects.dart", "Dart", 0, 0, 0, 0, 106, 0, 0, 0, 0, 0, 0, 0, 0, 3, 109
"/Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/lib/sections/testimonialSection/tesimonials.dart", "Dart", 0, 0, 0, 0, 113, 0, 0, 0, 0, 0, 0, 0, 2, 7, 122
"/Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/lib/sections/topSection/components/backgrounds.dart", "Dart", 0, 0, 0, 0, 94, 0, 0, 0, 0, 0, 0, 0, 13, 6, 113
"/Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/lib/sections/topSection/components/introduction.dart", "Dart", 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 4, 53
"/Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/lib/sections/topSection/components/logo.dart", "Dart", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"/Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/lib/sections/topSection/components/menu.dart", "Dart", 0, 0, 0, 0, 107, 0, 0, 0, 0, 0, 0, 0, 0, 9, 116
"/Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/lib/sections/topSection/top_section.dart", "Dart", 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 14, 7, 75
"/Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/lib/utils/check_phone.dart", "Dart", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"/Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/lib/widgets/custom_container.dart", "Dart", 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 5, 59
"/Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/lib/widgets/custom_offering_card.dart", "Dart", 0, 0, 0, 0, 179, 0, 0, 0, 0, 0, 0, 0, 0, 11, 190
"/Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/lib/widgets/custom_outlined_button.dart", "Dart", 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 4, 62
"/Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/lib/widgets/custom_project_card.dart", "Dart", 0, 0, 0, 0, 181, 0, 0, 0, 0, 0, 0, 0, 0, 10, 191
"/Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/lib/widgets/custom_testimonial_card.dart", "Dart", 0, 0, 0, 0, 176, 0, 0, 0, 0, 0, 0, 0, 0, 8, 184
"/Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/lib/widgets/custom_text.dart", "Dart", 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 2, 2, 55
"/Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/lib/widgets/custom_text_button.dart", "Dart", 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 4, 62
